properties{
  x = 3200,
  y = 1600,
  width = 800,
  height = 800,
  world = "Light",
  tileset = "1",
  music = "overworld",
}

tile{
  layer = 0,
  x = 216,
  y = 720,
  width = 16,
  height = 16,
  pattern = "272",
}

tile{
  layer = 0,
  x = 360,
  y = 560,
  width = 16,
  height = 16,
  pattern = "37",
}

tile{
  layer = 0,
  x = 344,
  y = 784,
  width = 16,
  height = 16,
  pattern = "49",
}

tile{
  layer = 0,
  x = 344,
  y = 768,
  width = 64,
  height = 16,
  pattern = "49",
}

tile{
  layer = 0,
  x = 360,
  y = 784,
  width = 48,
  height = 16,
  pattern = "49",
}

tile{
  layer = 0,
  x = 408,
  y = 768,
  width = 16,
  height = 16,
  pattern = "49",
}

tile{
  layer = 0,
  x = 352,
  y = 752,
  width = 96,
  height = 16,
  pattern = "49",
}

tile{
  layer = 0,
  x = 360,
  y = 720,
  width = 80,
  height = 32,
  pattern = "49",
}

tile{
  layer = 0,
  x = 360,
  y = 608,
  width = 80,
  height = 112,
  pattern = "49",
}

tile{
  layer = 0,
  x = 344,
  y = 576,
  width = 16,
  height = 80,
  pattern = "49",
}

tile{
  layer = 0,
  x = 360,
  y = 576,
  width = 64,
  height = 32,
  pattern = "49",
}

tile{
  layer = 0,
  x = 384,
  y = 560,
  width = 32,
  height = 16,
  pattern = "49",
}

tile{
  layer = 0,
  x = 64,
  y = 24,
  width = 16,
  height = 16,
  pattern = "43",
}

tile{
  layer = 0,
  x = 248,
  y = 168,
  width = 16,
  height = 16,
  pattern = "43",
}

tile{
  layer = 0,
  x = 424,
  y = 216,
  width = 16,
  height = 48,
  pattern = "722",
}

tile{
  layer = 0,
  x = 360,
  y = 216,
  width = 16,
  height = 48,
  pattern = "722",
}

tile{
  layer = 0,
  x = 280,
  y = 64,
  width = 32,
  height = 40,
  pattern = "953",
}

tile{
  layer = 0,
  x = 344,
  y = 72,
  width = 176,
  height = 16,
  pattern = "953",
}

tile{
  layer = 0,
  x = 512,
  y = 64,
  width = 8,
  height = 8,
  pattern = "953",
}

tile{
  layer = 0,
  x = 280,
  y = 24,
  width = 16,
  height = 48,
  pattern = "922",
}

tile{
  layer = 0,
  x = 344,
  y = 160,
  width = 112,
  height = 56,
  pattern = "918",
}

tile{
  layer = 0,
  x = 416,
  y = 208,
  width = 16,
  height = 8,
  pattern = "1036",
}

tile{
  layer = 0,
  x = 368,
  y = 208,
  width = 16,
  height = 8,
  pattern = "1036",
}

tile{
  layer = 0,
  x = 328,
  y = 120,
  width = 32,
  height = 16,
  pattern = "936",
}

tile{
  layer = 0,
  x = 456,
  y = 104,
  width = 208,
  height = 56,
  pattern = "918",
}

tile{
  layer = 0,
  x = 496,
  y = 424,
  width = 32,
  height = 64,
  pattern = "937",
}

tile{
  layer = 0,
  x = 688,
  y = 336,
  width = 64,
  height = 56,
  pattern = "918",
}

tile{
  layer = 0,
  x = 688,
  y = 352,
  width = 32,
  height = 160,
  pattern = "937",
}

tile{
  layer = 0,
  x = 328,
  y = 136,
  width = 32,
  height = 32,
  pattern = "936",
}

tile{
  layer = 0,
  x = 184,
  y = 264,
  width = 32,
  height = 96,
  pattern = "937",
}

tile{
  layer = 0,
  x = 136,
  y = 344,
  width = 64,
  height = 56,
  pattern = "918",
}

tile{
  layer = 0,
  x = 32,
  y = 264,
  width = 32,
  height = 96,
  pattern = "936",
}

tile{
  layer = 0,
  x = 136,
  y = 360,
  width = 32,
  height = 112,
  pattern = "937",
}

tile{
  layer = 0,
  x = 80,
  y = 344,
  width = 32,
  height = 176,
  pattern = "936",
}

tile{
  layer = 0,
  x = 288,
  y = 424,
  width = 48,
  height = 24,
  pattern = "917",
}

tile{
  layer = 0,
  x = 152,
  y = 464,
  width = 128,
  height = 24,
  pattern = "917",
}

tile{
  layer = 0,
  x = 272,
  y = 464,
  width = 16,
  height = 24,
  pattern = "917",
}

tile{
  layer = 0,
  x = 320,
  y = 432,
  width = 32,
  height = 80,
  pattern = "937",
}

tile{
  layer = 0,
  x = 288,
  y = 504,
  width = 48,
  height = 56,
  pattern = "918",
}

tile{
  layer = 0,
  x = 336,
  y = 512,
  width = 16,
  height = 48,
  pattern = "923",
}

tile{
  layer = 0,
  x = 448,
  y = 512,
  width = 16,
  height = 48,
  pattern = "922",
}

tile{
  layer = 0,
  x = 320,
  y = 504,
  width = 16,
  height = 16,
  pattern = "930",
}

tile{
  layer = 0,
  x = 96,
  y = 504,
  width = 192,
  height = 56,
  pattern = "918",
}

tile{
  layer = 0,
  x = 80,
  y = 512,
  width = 16,
  height = 48,
  pattern = "922",
}

tile{
  layer = 0,
  x = 464,
  y = 504,
  width = 240,
  height = 56,
  pattern = "918",
}

tile{
  layer = 0,
  x = 704,
  y = 512,
  width = 16,
  height = 48,
  pattern = "923",
}

tile{
  layer = 0,
  x = 688,
  y = 0,
  width = 32,
  height = 256,
  pattern = "937",
}

tile{
  layer = 0,
  x = 448,
  y = 432,
  width = 32,
  height = 80,
  pattern = "936",
}

tile{
  layer = 0,
  x = 336,
  y = 424,
  width = 16,
  height = 8,
  pattern = "921",
}

tile{
  layer = 0,
  x = 272,
  y = 424,
  width = 16,
  height = 8,
  pattern = "920",
}

tile{
  layer = 0,
  x = 272,
  y = 464,
  width = 16,
  height = 8,
  pattern = "927",
}

tile{
  layer = 0,
  x = 152,
  y = 464,
  width = 16,
  height = 8,
  pattern = "926",
}

tile{
  layer = 0,
  x = 272,
  y = 464,
  width = 16,
  height = 8,
  pattern = "927",
}

tile{
  layer = 0,
  x = 272,
  y = 432,
  width = 32,
  height = 48,
  pattern = "936",
}

tile{
  layer = 0,
  x = 272,
  y = 464,
  width = 16,
  height = 8,
  pattern = "927",
}

tile{
  layer = 0,
  x = 272,
  y = 464,
  width = 16,
  height = 24,
  pattern = "917",
}

tile{
  layer = 0,
  x = 272,
  y = 464,
  width = 16,
  height = 8,
  pattern = "927",
}

tile{
  layer = 0,
  x = 288,
  y = 472,
  width = 16,
  height = 16,
  pattern = "932",
}

tile{
  layer = 0,
  x = 288,
  y = 432,
  width = 16,
  height = 16,
  pattern = "928",
}

tile{
  layer = 0,
  x = 320,
  y = 432,
  width = 16,
  height = 16,
  pattern = "929",
}

tile{
  layer = 0,
  x = 136,
  y = 472,
  width = 16,
  height = 16,
  pattern = "933",
}

tile{
  layer = 0,
  x = 96,
  y = 504,
  width = 16,
  height = 16,
  pattern = "931",
}

tile{
  layer = 0,
  x = 80,
  y = 360,
  width = 16,
  height = 40,
  pattern = "925",
}

tile{
  layer = 0,
  x = 48,
  y = 344,
  width = 48,
  height = 56,
  pattern = "918",
}

tile{
  layer = 0,
  x = 32,
  y = 352,
  width = 16,
  height = 48,
  pattern = "922",
}

tile{
  layer = 0,
  x = 32,
  y = 256,
  width = 16,
  height = 8,
  pattern = "920",
}

tile{
  layer = 0,
  x = 48,
  y = 256,
  width = 64,
  height = 24,
  pattern = "917",
}

tile{
  layer = 0,
  x = 96,
  y = 344,
  width = 16,
  height = 16,
  pattern = "934",
}

tile{
  layer = 0,
  x = 48,
  y = 264,
  width = 16,
  height = 16,
  pattern = "928",
}

tile{
  layer = 0,
  x = 48,
  y = 344,
  width = 16,
  height = 16,
  pattern = "931",
}

tile{
  layer = 0,
  x = 80,
  y = 360,
  width = 16,
  height = 40,
  pattern = "925",
}

tile{
  layer = 0,
  x = 152,
  y = 360,
  width = 16,
  height = 40,
  pattern = "924",
}

tile{
  layer = 0,
  x = 136,
  y = 344,
  width = 16,
  height = 16,
  pattern = "935",
}

tile{
  layer = 0,
  x = 96,
  y = 264,
  width = 16,
  height = 16,
  pattern = "932",
}

tile{
  layer = 0,
  x = 80,
  y = -24,
  width = 32,
  height = 288,
  pattern = "936",
}

tile{
  layer = 0,
  x = 80,
  y = 256,
  width = 16,
